4NR5	TNR1	soil2	TNR3	4NRh5	TNRh2	TGRh4	WGRh3	WNR4	4NRh3	TNR4	4GRh4	WGRh4	WNR5	soil3	TGRh2	4NRh2	TNRh3	TNR2	4NR4	TGRh5	TNRh5	WNR1	TNRh6	WNR2	4NR6	WGRh5	WGR3	4NRh1	WNR6	4GRh1	soil1	WGRh6	4NR3	4NRh4	TGR2	soil5	WNRh5	WNRh2	WGR5	soil6	WNRh4	WNR3	WGRh2	TNR5	4NRh6	4GRh3	WGR4	TGRh6	WNRh3	TNR6	soil4	TNRh1	TGR6	TGRh1	WGR6	TGR5	WNRh6	TGRh3	WGRh1	TNRh4	WGR2	4GR5	WNRh1	TGR1	4GRh2	4GR4	WGR1	TGR4	4GR3	4GRh6	4NR2	4GRh5	TGR3	4NR1	4GR6	4GR1	4GR2
OTU_3848	0	0	9	0	4	0	1	0	0	8	0	1	1	0	2	0	4	1	0	0	0	0	0	0	0	0	1	0	2	0	0	17	1	0	3	0	3	2	2	0	4	4	0	3	0	0	0	0	0	3	0	8	3	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_1621	0	0	3	0	0	0	1	0	0	4	0	1	3	0	7	6	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	8	0	0	1	0	11	0	0	0	4	1	0	1	0	2	0	0	0	1	0	4	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	14	0	1	0	1	0	0	0	0	0
OTU_1427	0	0	17	0	2	0	4	3	0	4	0	2	1	0	10	2	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	7	1	0	1	0	4	1	0	0	6	1	0	0	0	5	0	0	0	0	0	4	1	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
OTU_2375	0	0	1	0	5	0	0	0	0	0	0	1	0	0	5	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1214	0	0	1	0	4	14	4	1	0	3	0	1	3	0	3	1	0	1	0	0	0	1	0	0	0	0	3	0	1	0	0	9	1	0	1	0	1	0	0	0	5	0	0	1	0	6	1	0	0	1	0	1	0	0	4	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU_2261	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0
OTU_2523	0	0	1	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	2	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2425	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	14	0	0	0	0	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2882	0	0	4	0	0	0	0	2	0	0	0	0	1	0	5	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	1	0	6	0	0	0	0	1	0	0	0	1	0	0	0	2	0	4	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2935	0	0	0	0	3	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	6	0	7	0	0	0	0	1	0	0	5	0	0	1	0	0	0	3	0	0	1	0	1	0	1	0	0	0	1	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1907	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_1333	0	0	11	0	2	0	0	0	0	5	0	0	2	0	7	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_730	1	0	0	0	7	0	2	11	3	4	0	0	12	9	0	0	8	3	0	0	0	0	4	0	0	0	7	0	6	2	0	0	5	0	12	0	0	0	0	2	0	1	5	12	0	5	0	0	0	3	0	2	1	0	0	3	0	1	5	1	0	8	0	2	0	1	0	9	0	0	3	0	0	0	0	0	0	0
OTU_917	0	0	4	0	4	0	1	2	0	2	0	0	2	0	6	0	2	7	0	0	0	1	0	0	0	0	2	0	1	0	0	7	1	0	2	0	3	1	1	0	11	2	0	1	0	4	1	0	0	2	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_1362	0	0	6	0	1	0	4	2	0	6	0	0	0	0	5	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	3	0	6	0	0	0	5	0	0	2	0	3	0	0	0	1	0	3	3	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1538	0	0	6	0	1	0	0	21	0	2	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	2	14	0	4	0	0	0	0	8	2	0	0	2	0	1	0	3	0	0	0	2	0	0	0	10	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_1722	0	0	0	0	4	21	0	0	0	3	0	0	1	0	0	0	5	0	0	0	0	1	0	0	0	0	1	0	6	0	0	1	2	0	0	0	4	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_576	1	0	33	0	16	0	15	1	0	22	0	0	4	0	25	7	10	5	0	0	0	15	1	0	0	0	1	0	14	0	0	30	5	0	15	0	21	2	1	0	33	4	0	1	0	15	0	0	0	0	0	23	4	0	10	0	0	1	4	3	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_669	1	54	0	17	1	0	1	0	0	0	33	0	0	0	0	1	0	1	27	1	7	2	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	30	2	0	0	0	0	0	0	1	0	4	0	6	0	0	0	3	0	1	0	0	0	0	0	7	0	0	0	0	5	0	0	0	0
OTU_1143	0	0	1	0	1	0	2	0	0	1	0	1	0	0	1	5	0	2	0	0	1	7	0	3	0	0	0	0	1	0	0	2	0	0	0	0	4	0	0	0	1	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	2	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4320	0	0	7	0	4	1	3	2	0	10	0	1	1	0	4	2	7	2	0	0	0	0	0	4	0	0	0	0	1	0	0	9	2	0	2	0	6	0	2	0	5	0	0	0	0	3	0	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_3763	0	0	2	0	0	0	0	0	0	9	0	0	6	0	0	0	5	2	0	0	0	2	0	11	0	0	1	0	4	0	0	5	2	0	4	0	0	5	0	0	2	0	0	1	0	2	0	0	0	2	0	4	3	0	0	1	0	0	42	3	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_2342	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_2018	1	0	3	0	3	0	3	5	3	1	1	0	0	3	1	1	3	1	0	0	0	4	0	0	0	0	1	0	1	0	0	6	2	0	1	0	9	2	1	2	2	0	5	3	0	6	0	0	0	2	0	5	2	0	1	1	0	2	0	1	9	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0
OTU_1506	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	24	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU_1245	1	1	2	0	0	2	1	3	1	0	4	1	0	2	0	0	0	1	6	0	0	1	1	0	0	0	1	0	1	0	0	0	4	0	1	0	0	0	0	48	0	0	3	3	0	0	1	0	0	0	0	0	0	0	0	3	0	0	2	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
OTU_2679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4295	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3885	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4121	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3	2	0	0	0	0	1	0	0	0	0	0	0	3	0	0	2	0	0	1	0	3	0	0	0	2	0	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1412	0	0	14	0	4	0	1	1	0	2	0	0	3	0	9	2	1	1	0	0	0	4	0	0	0	0	1	0	1	0	0	10	0	0	3	0	7	0	1	0	11	0	0	1	0	3	1	0	0	0	0	10	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2823	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1708	0	0	6	0	4	0	0	1	0	4	0	0	1	0	2	0	0	0	0	0	0	1	0	2	0	0	1	0	2	0	0	11	1	0	3	0	14	0	0	0	6	0	0	1	0	5	0	0	0	0	0	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
OTU_4231	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3859	0	0	4	0	0	0	0	0	0	1	0	0	0	0	4	2	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3716	2	0	0	0	0	0	0	0	10	0	26	0	0	87	0	0	1	0	0	1	0	0	24	0	0	7	0	0	1	13	0	0	0	0	0	0	0	0	0	4	0	0	14	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
OTU_3030	0	0	2	0	1	0	0	0	0	2	0	0	1	0	1	1	1	2	0	0	0	0	0	0	0	0	1	0	2	0	0	2	3	0	1	0	3	0	0	0	2	0	0	2	0	1	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU_2840	0	0	9	0	2	0	2	2	0	4	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	10	2	0	3	0	7	0	0	0	4	0	0	0	0	2	0	0	0	1	0	7	2	0	1	0	0	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2113	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0
OTU_1637	0	0	10	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	1	0	7	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2403	0	0	5	0	1	0	0	2	0	2	0	0	1	0	5	1	1	1	0	0	0	0	0	6	0	0	1	0	0	0	0	7	1	0	2	0	4	0	0	0	4	1	0	1	0	1	1	0	0	1	0	0	0	0	3	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4000	0	0	6	0	9	0	5	4	0	11	0	1	9	0	9	1	0	4	0	0	0	8	0	4	0	0	2	0	1	0	0	4	1	1	2	0	7	0	1	0	10	0	0	0	0	7	0	0	0	1	0	2	1	0	4	0	0	0	3	5	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_768	0	0	3	0	6	0	11	9	0	12	0	0	6	0	8	6	8	1	0	0	0	20	0	0	0	0	2	0	6	0	0	9	4	0	8	0	10	1	1	0	9	3	0	2	0	7	1	1	0	2	0	12	4	0	10	0	0	0	13	2	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0
OTU_1375	3	0	1	0	5	0	0	0	4	7	0	0	0	3	0	0	4	0	0	0	0	0	3	0	0	0	1	0	1	2	0	0	1	0	2	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	5	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1123	0	0	14	0	2	0	3	0	0	5	0	2	3	0	11	1	3	1	0	0	0	6	0	0	0	0	0	0	0	0	0	11	1	0	3	0	7	0	0	0	10	0	0	1	0	3	0	0	6	1	0	7	1	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_737	0	0	6	0	3	0	8	3	0	9	0	0	4	1	8	4	1	3	0	0	0	5	0	4	0	0	0	0	0	0	0	9	1	0	1	0	8	1	0	0	17	0	0	2	0	4	1	0	0	0	0	10	0	0	2	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_3832	0	0	0	0	0	0	1	0	1	4	0	1	3	5	0	0	1	3	0	0	0	1	4	0	0	1	0	1	4	5	0	0	2	0	0	0	3	2	1	4	0	1	4	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	1	0	0
OTU_1793	0	0	6	0	2	0	3	0	0	0	0	0	2	0	9	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	12	0	0	0	0	6	1	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1883	0	0	0	0	3	0	1	3	0	2	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	1	0	0	0	2	1	1	0	3	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
OTU_1544	0	0	6	0	2	0	2	2	0	7	0	0	2	0	4	3	8	0	0	0	0	1	0	0	0	0	2	0	1	0	0	8	5	0	1	0	5	1	0	0	6	1	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0	1	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1370	0	0	3	0	7	0	0	1	1	12	0	0	2	3	1	0	7	0	0	0	0	5	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	1	2	1	0	0	4	1	0	0	0	0	0	9	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_3999	0	0	3	0	0	0	0	2	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2271	0	0	1	0	2	0	1	0	0	0	0	0	1	1	1	0	2	6	0	0	0	2	0	0	0	0	1	0	4	0	0	1	0	0	0	0	3	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_3389	5	0	0	0	1	0	0	3	0	2	0	0	1	0	0	1	1	5	2	0	0	16	0	0	0	0	4	0	2	0	0	1	3	0	2	0	0	2	0	0	2	2	0	3	0	2	1	0	37	0	0	0	2	0	2	1	0	0	7	4	2	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU_2032	0	0	3	0	2	0	1	2	0	2	0	1	1	0	7	0	2	1	0	0	0	1	0	0	0	0	1	0	0	0	0	6	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1596	10	0	0	0	2	0	0	1	1	0	0	0	1	3	1	0	1	0	0	0	0	0	1	0	0	0	4	0	0	1	0	0	1	0	1	0	1	3	0	4	0	0	5	2	0	1	0	0	0	1	0	1	0	0	0	1	0	2	1	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	1	0	0
OTU_1070	0	0	4	0	1	0	0	1	2	31	0	0	4	3	12	0	7	1	0	0	0	5	3	0	0	1	0	0	6	1	0	6	4	0	4	0	15	5	0	0	1	1	1	3	0	7	0	0	0	4	0	4	7	0	0	0	0	3	2	1	0	1	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0
OTU_1886	0	0	3	0	1	0	1	1	0	0	0	0	0	0	4	0	1	0	0	0	0	4	0	0	0	0	0	0	2	0	0	4	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_928	0	0	9	0	8	21	8	5	0	3	0	1	4	1	19	9	5	2	0	0	0	6	0	0	0	0	1	0	2	0	0	13	0	0	1	0	29	3	7	0	7	3	0	3	0	4	0	0	0	8	0	14	2	0	6	0	0	0	9	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_1006	0	0	9	0	2	0	0	0	0	2	0	0	1	0	6	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	28	0	0	1	0	15	3	0	0	1	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2295	0	0	2	0	2	0	2	1	1	0	0	1	0	0	4	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	4	0	0	0	0	1	0	1	0	3	0	0	2	0	1	0	0	0	1	0	4	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0
OTU_2760	0	0	0	0	2	0	1	0	0	14	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1839	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	8	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2146	0	0	3	0	0	0	1	2	0	1	0	0	1	1	3	0	1	0	0	0	0	3	2	0	0	0	1	0	1	0	0	3	1	0	1	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_1548	0	0	1	0	1	0	3	1	0	0	0	2	1	0	3	0	2	4	0	0	0	3	0	0	0	0	1	0	2	0	0	8	0	0	6	0	2	0	0	0	6	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	2	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_785	0	0	5	0	8	0	9	1	0	6	0	0	0	0	6	1	1	2	0	0	0	11	0	3	0	0	1	0	7	0	0	5	1	0	4	0	14	3	0	0	9	0	0	1	0	10	0	0	0	2	0	13	1	0	9	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
OTU_3269	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2333	0	0	3	0	11	0	20	6	0	22	0	1	2	1	2	3	8	4	0	2	0	53	3	11	0	0	2	0	13	2	0	8	1	0	12	0	3	1	1	4	3	0	3	2	0	4	1	4	0	4	0	6	3	0	2	3	1	2	9	3	6	0	0	3	0	1	0	1	0	0	3	0	2	0	0	0	0	0
OTU_1554	0	0	3	0	3	0	2	0	0	1	0	0	0	0	8	1	2	0	0	0	0	1	0	4	0	0	0	0	1	0	0	8	0	0	0	0	1	0	0	0	6	0	0	1	0	10	0	0	0	0	0	4	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_1078	0	0	0	0	10	0	1	0	0	3	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	3	0	7	0	0	1	0	0	3	3	0	0	0	0	0	0	0	0	0	0	6	0	0	9	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_2232	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	12	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2681	0	0	1	0	5	19	5	1	0	2	0	0	0	0	2	0	2	1	0	0	0	7	0	5	0	0	0	0	3	0	0	6	0	0	3	0	0	1	0	0	3	2	0	1	0	3	0	0	0	2	0	2	7	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_1022	0	0	24	0	2	0	8	3	0	7	0	0	3	0	14	1	9	2	0	0	0	3	0	0	0	0	2	0	4	0	0	16	0	0	4	0	16	0	0	0	11	1	0	2	0	6	0	0	0	2	0	23	0	0	1	0	0	2	9	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_1001	0	0	14	0	3	0	0	1	0	0	0	0	2	0	13	1	0	3	0	0	0	3	0	0	0	11	0	0	0	0	0	7	1	0	1	0	9	1	0	0	5	0	0	0	0	1	0	0	0	1	0	8	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2241	1	0	1	0	2	0	2	0	0	1	0	0	0	1	0	0	2	0	0	0	0	3	1	0	0	0	1	0	6	0	0	3	0	0	3	0	0	1	0	0	1	0	0	1	0	7	0	0	0	1	0	0	5	0	2	0	0	1	1	1	3	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
OTU_858	0	0	27	0	7	0	8	2	0	0	0	1	8	0	18	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	2	0	23	2	0	0	17	0	0	4	0	7	1	0	0	1	0	16	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1193	0	0	1	0	2	0	6	0	0	9	0	1	2	0	3	1	2	1	0	0	0	2	0	0	0	0	0	0	3	0	0	5	1	0	3	0	3	0	2	0	2	1	0	1	0	19	1	0	0	1	0	1	2	0	0	0	0	1	1	3	0	0	0	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0
OTU_1517	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	11	1	0	0	0	0	0	0	0	0	1	0	5	0	0	0	1	0	7	0	0	2	0	0	0	0	3	3	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1187	0	0	0	0	1	0	0	0	4	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	7	0	1	0	0	0	0	6	0	0	4	2	0	0	0	3	0	0	0	0	0	0	0	6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2291	3	0	0	13	0	0	0	0	2	0	8	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	5	0	0	2	0	0	0	1	0	0
OTU_1588	0	0	0	0	4	0	0	0	0	0	0	2	4	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1401	0	0	5	0	0	0	0	0	0	0	0	0	1	0	4	0	2	1	0	0	0	1	0	4	0	0	0	0	1	0	0	4	0	0	2	0	8	0	0	0	6	1	0	1	0	1	0	0	0	1	0	2	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU_3570	0	0	16	0	5	0	3	2	0	3	0	1	0	0	4	2	4	1	0	0	0	7	0	0	0	0	4	0	3	0	1	9	3	0	11	0	11	2	1	0	5	0	0	3	0	4	0	0	0	2	0	10	1	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
