4NR5	TNR1	soil2	TNR3	4NRh5	TNRh2	TGRh4	WGRh3	WNR4	4NRh3	TNR4	4GRh4	WGRh4	WNR5	soil3	TGRh2	4NRh2	TNRh3	TNR2	4NR4	TGRh5	TNRh5	WNR1	TNRh6	WNR2	4NR6	WGRh5	WGR3	4NRh1	WNR6	4GRh1	soil1	WGRh6	4NR3	4NRh4	TGR2	soil5	WNRh5	WNRh2	WGR5	soil6	WNRh4	WNR3	WGRh2	TNR5	4NRh6	4GRh3	WGR4	TGRh6	WNRh3	TNR6	soil4	TNRh1	TGR6	TGRh1	WGR6	TGR5	WNRh6	TGRh3	WGRh1	TNRh4	WGR2	4GR5	WNRh1	TGR1	4GRh2	4GR4	WGR1	TGR4	4GR3	4GRh6	4NR2	4GRh5	TGR3	4NR1	4GR6	4GR1	4GR2
OTU_4537	271	233	3	72	76	619	141	54	297	99	1857	8	38	301	0	33	95	160	366	144	44	47	211	136	112	95	24	157	52	413	1	1	67	57	93	14	0	12	9	146	3	23	332	49	138	36	9	50	210	24	62	0	74	61	32	175	32	9	119	37	399	117	37	26	6	14	14	97	58	9	12	35	15	17	16	19	8	7
OTU_476	55	0	1	0	26	0	16	5	35	46	44	13	8	36	0	2	65	16	0	11	0	18	11	5	0	19	6	7	78	68	0	2	11	3	61	0	4	2	0	13	0	6	48	9	0	12	0	6	8	7	0	2	27	0	4	14	5	4	9	2	8	11	17	1	0	2	0	6	0	0	2	0	5	0	0	1	0	1
OTU_11	1882	138	564	38	2820	634	1422	536	2033	2534	969	113	445	2019	515	520	1821	903	247	699	2	1561	1946	444	4	795	334	461	1451	2040	10	758	538	438	1792	0	595	250	223	1148	580	238	2999	528	892	1497	102	338	137	372	0	722	381	0	423	706	110	150	1574	354	414	247	160	304	1	45	70	383	18	55	215	255	148	80	126	85	32	27
OTU_769	27	92	10	37	85	137	48	24	105	74	29	4	9	38	9	143	127	19	14	5	63	35	17	83	21	5	26	6	97	65	16	11	16	32	117	109	15	18	10	90	18	4	31	39	18	47	15	2	46	24	49	20	370	51	112	22	5	10	69	27	23	7	25	17	0	7	2	23	54	5	15	48	30	157	11	3	21	4
OTU_280	0	0	58	0	57	31	50	13	0	35	9	1	22	1	54	35	26	28	0	0	0	41	0	11	0	0	9	0	29	1	0	73	18	0	30	0	92	15	5	0	97	6	0	9	0	19	5	0	0	14	0	74	21	0	22	0	0	2	25	3	19	0	0	2	0	0	0	0	0	0	4	0	4	0	0	0	0	0
OTU_2217	0	50	0	2	22	135	186	15	12	10	14	1	8	12	2	3	7	23	128	8	2	9	2	4	0	0	13	18	27	5	0	6	7	0	107	0	3	5	1	1	2	5	11	6	3	5	1	6	3	3	0	1	26	0	3	9	41	3	286	6	6	1	0	13	0	2	0	18	4	0	2	0	3	0	1	0	0	0
OTU_16	1821	72	0	76	16	27	2	6	1431	12	4406	1	3	1867	0	18	20	10	3151	626	2	4	1125	12	1	2205	0	341	11	1171	0	0	6	772	7	0	0	3	9	574	2	7	1235	1	0	12	6	336	0	3	0	1	4	0	2	759	206	3	16	2	5	134	494	9	0	12	107	250	2	166	3	1021	0	0	342	287	67	55
OTU_69	186	0	46	2	106	54	59	36	663	124	97	17	23	530	30	26	72	76	15	162	0	51	370	39	3	415	30	116	31	839	0	37	39	109	55	0	39	32	26	235	40	25	959	45	16	73	14	70	50	69	0	40	13	0	20	141	16	27	77	37	26	66	88	34	0	1	28	114	0	20	24	114	23	0	41	46	17	10
OTU_41	334	0	12	5	250	30	64	55	1277	163	190	7	26	1094	10	6	138	44	12	337	0	35	615	30	5	321	27	417	97	1134	2	6	78	136	197	0	12	11	14	563	10	13	1562	49	14	86	7	258	7	19	0	16	19	0	4	402	2	8	44	38	29	360	124	21	0	4	36	445	5	17	18	105	8	3	25	63	30	25
OTU_169	0	0	66	0	192	0	75	65	0	195	0	54	159	0	65	9	152	22	0	0	0	100	1	28	0	0	38	0	30	2	0	26	81	0	35	0	59	48	35	0	96	65	2	106	0	77	18	0	1	81	0	35	2	0	7	0	0	20	50	40	11	0	0	24	0	2	0	0	0	0	28	0	30	0	0	0	0	0
OTU_78	6	0	1231	0	729	182	551	222	14	624	9	81	254	6	1118	409	389	343	6	8	4	829	10	294	1	3	149	2	170	19	6	1288	207	2	388	0	1082	145	88	7	1282	126	20	237	0	454	34	2	76	199	0	1153	132	0	349	12	1	37	559	105	143	2	1	107	11	11	1	4	0	0	76	1	62	0	0	0	1	2
OTU_313	34	0	37	1	105	0	373	41	47	90	12	6	31	35	43	29	37	38	7	35	0	109	90	40	1	7	27	32	31	71	0	64	38	7	50	0	47	12	12	26	57	22	126	43	0	118	12	8	0	31	0	39	16	0	23	14	0	15	147	30	121	13	12	21	1	0	3	19	0	2	22	5	21	0	0	7	1	0
OTU_399	1	19	24	76	50	24	25	14	29	39	35	2	18	1	23	222	20	21	41	1	81	57	3	34	86	1	7	5	34	2	63	40	11	21	39	111	21	8	2	48	39	9	7	17	116	28	5	4	123	10	56	32	323	148	86	8	2	6	30	8	34	0	22	15	49	9	1	3	15	4	14	69	7	117	4	3	13	0
OTU_96	0	0	460	0	195	0	121	75	1	201	0	43	173	0	361	90	155	68	0	0	2	115	0	44	0	0	66	0	62	0	0	492	72	0	103	0	402	55	27	0	317	30	0	91	0	114	14	0	0	72	0	494	14	0	61	0	0	17	315	44	7	0	0	35	0	1	0	0	0	0	31	0	32	0	0	0	0	0
OTU_281	0	0	81	0	58	0	53	53	0	84	0	18	40	12	53	19	80	30	1	0	0	66	2	39	0	3	34	0	35	3	4	126	54	1	90	0	100	31	22	0	58	11	9	43	0	75	16	0	13	31	0	68	19	0	9	2	0	10	43	55	39	0	0	28	0	7	0	3	0	0	25	0	21	0	0	0	0	0
OTU_3367	494	0	28	5	1443	164	407	990	400	883	766	224	802	504	31	176	1024	522	46	212	1	202	281	111	0	363	523	379	1972	458	54	29	1146	142	1266	1	25	245	155	498	21	332	521	997	0	634	182	142	161	326	0	18	281	0	226	438	42	121	409	725	287	214	127	331	0	96	56	345	3	59	418	74	251	0	23	146	78	26
OTU_3878	103	3	4	1	219	37	83	55	152	176	217	13	29	184	2	12	225	79	76	289	6	35	84	26	0	87	16	31	111	144	2	3	64	28	569	0	3	17	16	33	2	29	164	35	0	67	4	20	18	28	0	3	62	0	13	55	8	16	94	21	138	29	13	19	0	6	10	30	1	6	8	27	21	0	5	14	11	2
OTU_48	777	57	3	13	143	0	85	97	202	84	108	9	81	1436	11	11	59	49	56	213	0	80	184	28	0	317	86	99	101	439	3	21	94	58	189	21	18	17	17	351	10	39	321	90	41	95	23	63	11	15	0	7	25	12	30	81	7	4	165	45	188	162	31	18	0	0	23	126	11	23	33	118	19	165	23	70	15	9
OTU_9	3357	92	271	73	6618	858	5984	2914	4499	3601	7862	1005	910	4781	192	639	2883	2153	580	7939	29	896	3695	652	16	2127	680	3897	3033	10726	54	298	4002	982	18413	1	344	465	323	2586	282	482	10941	1269	81	1556	441	1057	593	862	3	283	1510	12	931	1608	1258	331	2390	729	6861	1917	2236	734	18	197	674	1354	80	298	393	861	614	78	517	796	226	1201
OTU_703	0	0	43	0	15	0	12	23	1	27	1	2	25	2	30	9	14	7	3	0	0	28	1	4	0	0	9	6	34	1	0	46	21	0	14	0	34	9	4	5	37	5	3	31	0	21	4	5	0	7	0	39	12	0	11	9	0	2	14	16	1	2	0	9	0	3	0	0	0	0	6	0	5	0	0	1	0	0
OTU_79	6	0	561	0	673	54	206	272	66	792	12	54	313	81	469	113	609	200	1	12	0	159	48	74	0	32	164	23	429	63	8	516	305	8	578	0	497	129	69	31	428	172	87	312	0	513	36	5	0	162	0	411	51	0	94	30	2	56	186	207	50	5	1	132	0	14	8	14	0	2	123	3	70	0	4	5	3	1
OTU_87	0	43	498	6	603	83	433	235	4	625	21	85	311	5	778	375	535	308	11	3	69	616	1	151	1	3	130	1	233	5	5	1048	292	0	486	61	777	168	96	3	567	109	3	228	55	345	21	0	230	264	173	883	158	16	241	3	4	55	340	126	67	0	2	151	16	7	0	2	28	0	106	0	39	8	0	0	0	1
OTU_6	80	3361	622	495	1790	6068	1010	530	165	1665	1040	196	369	167	274	465	2952	1392	1001	48	5052	1577	29	705	10284	46	597	46	4137	309	24	341	795	28	2706	3066	224	512	151	70	207	311	213	1157	5951	928	101	38	6194	839	8456	255	1792	2666	398	84	96	347	640	437	598	30	21	518	2050	68	25	104	500	3	413	502	417	509	10	13	6	3
OTU_3343	0	0	214	0	234	140	81	103	23	334	4	25	138	83	185	25	164	100	36	4	1	61	14	46	0	8	67	25	281	43	0	230	80	3	251	0	172	36	29	12	183	46	45	124	0	177	5	7	1	69	0	159	11	0	37	13	1	29	95	69	26	3	1	65	0	6	1	11	0	0	40	0	41	0	0	1	0	0
OTU_36	0	0	3427	0	1017	1	417	390	3	685	0	163	741	0	2623	306	441	151	0	0	1	696	3	45	2	4	267	5	131	4	3	2922	304	2	341	0	2913	140	110	1	2397	132	6	419	0	370	47	1	3	211	0	2931	26	0	215	3	0	50	491	134	66	0	10	118	0	11	0	3	0	0	119	0	85	1	1	1	0	0
OTU_14	287	0	1063	13	4940	211	673	1782	1170	5157	209	324	1863	1404	821	224	4452	819	55	395	3	608	838	318	4	634	1071	343	2144	1465	28	1150	1672	231	3565	0	1222	859	599	339	796	1078	2158	1933	1	3680	348	200	167	1240	0	798	193	0	277	473	3	537	1010	1319	282	156	42	1083	1	98	50	300	0	28	755	49	399	0	31	55	24	17
OTU_34	1213	0	4	1	587	0	35	160	656	344	9	43	118	704	4	5	548	53	8	238	0	24	592	42	1	511	105	204	92	1375	4	7	151	170	235	0	15	83	69	581	7	130	2070	153	0	204	53	448	73	159	0	12	18	0	22	591	0	71	35	92	23	117	62	102	0	26	45	184	0	161	61	230	29	0	60	92	42	53
OTU_144	0	1	366	0	242	70	116	75	0	290	0	36	146	0	270	36	167	88	1	0	0	132	2	75	0	0	42	0	93	6	3	330	42	5	122	0	337	26	30	0	258	43	1	106	0	121	12	0	98	42	0	289	13	0	60	0	0	30	210	62	55	2	1	51	1	7	0	0	0	0	35	1	34	0	0	0	0	0
OTU_198	3	37	538	83	295	65	102	244	26	216	113	27	405	2	199	125	213	137	19	0	103	243	4	174	0	0	99	10	354	2	6	455	186	17	443	5	411	40	22	35	235	31	6	163	138	272	13	3	99	52	259	303	599	27	81	6	1	17	183	155	58	4	30	26	4	33	0	8	20	4	17	31	36	61	6	0	5	0
OTU_1613	0	0	24	0	12	12	6	3	0	7	0	0	0	0	17	3	5	0	0	0	0	6	0	5	0	0	0	0	1	0	0	21	1	0	3	0	15	1	0	0	15	4	0	3	0	4	1	0	0	1	0	16	0	0	2	0	0	0	0	2	3	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0
OTU_44	140	85	139	1658	185	297	6	25	212	77	224	39	10	13	129	1003	73	130	68	10	846	9	41	288	1	1	28	35	54	15	112	157	116	182	70	664	146	66	43	281	122	27	50	22	1421	3	60	17	211	45	116	95	2146	118	489	58	16	92	38	16	54	12	184	109	16	61	10	59	329	25	13	415	57	1747	72	27	169	2
