4GRh3	WGR6	4GR4	WGR2	WGRh3	WNR5	4NRh3	4GR1	TNR4	soil6	WGRh4	WNRh6	WNR1	WNR4	4NR1	4GR3	WGR4	soil5	WGRh1	4NR3	WNRh3	WNRh1	4NR6	WNRh2	4GR6	4GRh1	WNR3	WNRh4	4NRh6	soil2	TNR2	4NRh4	4GR2	4GRh6	4GRh2	WGR5	TNRh5	TGRh3	WNRh5	TNRh3	4NRh2	WGRh2	4NR2	WGR3	4NR5	soil3	WGRh5	WNR6	soil1	WGR1	4NRh1	soil4	4NR4	TGR5	WGRh6	TGRh4	4GR5	4GRh4	TGRh1	4GRh5	4NRh5	TGR3	TNR3	TGR4	TNRh4	TGRh2	TNRh1	TNR1	TNRh2	TGR2	TNRh6	TNR5	TGR6	TGRh5	TGRh6	TGR1	TNR6	WNR2
OTU_40	1	1	6	0	4	17	37	2003	1	2	3	3	15	5373	13	40	2	0	0	2	8	0	1	2	5970	202	8	1934	0	1	6259	1	3	1598	0	2	5	0	19	61	1320	1	4652	1	64	0	1	7	0	1	1	1	95	3	2	0	8	1	117	1	4	0	0	0	0	0	0	1	256	0	0	0	8	0	0	0	0	0
OTU_73	22	2	0	11	170	118	16	0	172	66	38	185	234	699	20	0	2	409	46	9	34	114	5	12028	12	0	22	840	47	29	0	10	0	37	7	15	25	0	66	16	9	39	1	138	2926	313	32	8	31	4	169	90	6	0	42	0	2	9	0	25	9	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0
OTU_162	0	0	0	0	1	0	0	0	1	910	5	1	0	0	0	1	1	0	0	1	0	0	1	187	0	0	0	0	0	2	0	0	0	17	0	2	0	0	838	1	37	6	1	1	0	905	0	0	0	1	0	1	1	0	0	0	1	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_60	196	346	3387	2397	61	285	151	1991	0	0	32	77	1089	1386	2521	4570	15	2	139	1029	328	381	1210	34	363	617	4227	226	75	1	7	16	7331	578	262	1215	4	118	34	76	143	36	2005	556	113	0	194	1257	1	1269	32	2	19	913	34	66	2085	320	222	248	30	2	20	0	0	96	36	124	2	0	0	0	12	0	0	0	0	0
OTU_36	1	1	5	145	934	81	6	1	2	68	8	12	6	2	1	0	2	2	39	3	469	5199	14	122	3	398	5	32	1001	390	0	15705	2	1406	986	13	27	0	1377	54	457	3285	1	23	0	3	6757	0	434	30	4	90	9	2	158	0	2	1	46	317	409	0	1	0	12	0	32	0	0	0	459	0	0	0	0	0	0	0
OTU_71	106	6	0	0	420	1	133	2	4	3176	1674	48	0	4	0	1	104	2251	163	0	329	561	3	213	2	59	4	230	70	2313	1	97	3	288	50	0	232	86	390	216	61	451	1	1	0	1957	611	1	1759	104	33	2344	0	0	304	27	1	203	0	89	31	0	0	0	0	10	52	0	0	0	0	0	0	0	0	0	0	0
OTU_1237	14	182	372	38	2	57	1	29	0	0	51	22	137	49	238	51	86	1	7	346	12	2	74	36	277	5	209	7	7	0	0	13	1	32	3	32	26	28	4	0	2	8	33	12	159	0	23	92	0	48	14	0	43	5	5	10	33	9	22	2	98	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_164	1	27	3	82	17	262	24	4	24	1	27	26	60	136	354	29	54	2	14	91	39	45	100	14	61	40	222	42	4	1	0	5	208	41	12	58	12	23	19	0	9	52	152	32	42	0	13	123	9	35	2	0	95	14	6	10	250	9	178	3	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_141	0	1	1	49	5	31	20	1483	0	1	2	5	122	72	101	27	41	0	6	16	3	0	272	11	1	42	140	3	9	0	0	2	82	0	5	12	0	27	0	4	0	8	1	41	1679	0	2	1346	0	35	1	0	3	0	0	0	340	4	1	10	26	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_441	0	1	0	1	0	0	1	0	1	76	0	1	3	0	0	0	2	0	1	39	0	5	0	3	0	0	0	0	0	0	0	0	0	5	0	259	0	4	0	1	1	0	3	0	3	0	79	6	19	8	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_69	380	585	1387	1061	188	1404	265	542	1	0	323	274	1819	3743	1047	618	1835	1	171	2124	604	578	1033	537	488	52	4007	835	171	0	61	125	368	267	149	743	758	143	202	80	196	412	1557	666	1505	5	917	2686	2	482	27	4	852	1014	57	112	557	85	39	139	200	0	1	0	9	39	62	0	43	0	1	1	0	0	0	0	0	0
OTU_25	25	1976	305	976	20	586	36	7387	337	1	18	65	954	607	3173	371	763	3	3	3882	17	8	2837	108	264	422	521	31	145	4	0	1	281	103	30	1425	0	1	17	65	7	176	104	327	43	0	154	1078	2	157	32	1	37	144	22	8	3687	11	212	93	2	0	25	0	0	0	16	0	0	0	0	0	0	0	0	1	0	0
OTU_188	133	31	158	4	1	36	13	209	0	0	0	38	59	126	1	179	1	0	85	6	69	422	143	2	0	34	90	19	12	0	0	5	7	0	4	58	5	35	31	0	13	5	3	0	6	0	78	79	0	183	0	1	8	0	24	0	3	12	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_147	52	1	0	4	456	3	28	0	1	292	236	380	2	7	1	0	0	5	145	0	492	390	0	117	1	19	1	442	32	0	1	7	0	13	76	1	2	113	142	43	60	1772	0	3	0	0	259	0	0	5	56	0	0	1	82	46	0	24	4	171	18	1	0	0	0	0	20	0	6	0	0	0	0	0	0	0	0	0
OTU_109	7	19	0	20	188	28	13	1833	0	0	16	19	309	78	101	313	469	0	6	37	3	8	230	21	92	168	193	9	3	1	0	1	325	7	9	309	0	1	1	0	1	10	8	2289	966	1	21	1579	0	25	0	0	68	2	0	0	235	7	22	15	7	1	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_330	0	128	28	2	5	0	13	0	5	0	2	1	163	0	10	1	177	0	0	0	0	0	2	30	0	0	17	14	2	0	57	0	0	0	10	35	0	0	0	59	37	0	550	65	15	0	1	96	0	0	0	0	14	0	16	0	4	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
