4GRh3	WGR6	4GR4	WGR2	WGRh3	WNR5	4NRh3	4GR1	TNR4	soil6	WGRh4	WNRh6	WNR1	WNR4	4NR1	4GR3	WGR4	soil5	WGRh1	4NR3	WNRh3	WNRh1	4NR6	WNRh2	4GR6	4GRh1	WNR3	WNRh4	4NRh6	soil2	TNR2	4NRh4	4GR2	4GRh6	4GRh2	WGR5	TNRh5	TGRh3	WNRh5	TNRh3	4NRh2	WGRh2	4NR2	WGR3	4NR5	soil3	WGRh5	WNR6	soil1	WGR1	4NRh1	soil4	4NR4	TGR5	WGRh6	TGRh4	4GR5	4GRh4	TGRh1	4GRh5	4NRh5	TGR3	TNR3	TGR4	TNRh4	TGRh2	TNRh1	TNR1	TNRh2	TGR2	TNRh6	TNR5	TGR6	TGRh5	TGRh6	TGR1	TNR6	WNR2
OTU_1035	0	0	0	0	0	0	5	0	0	7	3	0	0	0	0	0	0	6	2	0	2	0	0	0	0	0	0	0	0	1	0	2	0	4	0	0	0	0	4	0	4	0	0	0	0	8	0	0	7	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_412	2	0	0	0	11	0	2	0	0	53	7	6	0	0	0	0	0	48	16	0	1	14	0	20	0	0	0	10	25	12	0	6	0	11	0	0	0	0	7	0	0	3	0	0	0	24	6	0	68	3	4	84	0	0	0	0	0	7	8	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_238	10	0	1	0	151	0	17	0	0	68	49	26	0	0	0	0	2	133	40	0	97	28	0	32	1	36	0	27	37	76	0	3	0	20	3	0	131	4	16	0	3	8	0	0	0	186	28	0	239	16	0	131	0	0	18	0	0	21	8	14	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_278	100	0	0	0	40	2	10	0	0	24	25	7	3	1	315	60	2	10	20	0	27	30	1	33	0	0	5	26	19	4	0	9	1	0	1	3	0	0	15	10	7	30	0	0	1	1	16	3	4	3	4	0	75	0	6	0	4	11	0	12	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
OTU_578	0	0	0	0	3	0	0	0	0	19	1	1	0	0	0	0	0	13	0	0	4	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	66	6	0	16	1	0	13	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1053	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	7	0	0	2	0	0	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_388	0	2	1	0	199	5	289	0	0	305	6	8	0	1	1	0	1	3	5	19	11	73	1	8	0	0	0	11	0	0	0	0	1	0	81	0	0	0	5	20	7	5	1	1	0	0	74	1	13	1	0	14	0	0	8	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_710	2	0	0	0	0	0	0	0	0	20	12	0	0	0	0	0	0	0	1	0	2	13	0	0	0	0	0	0	0	9	0	0	0	10	4	0	0	0	1	0	4	0	0	0	0	7	9	0	27	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1256	17	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_126	26	531	170	147	17	353	8	442	2	1	140	29	401	341	18	7	525	0	33	20	83	202	45	112	580	19	223	40	10	0	0	1	17	12	9	557	0	0	51	7	26	28	37	65	208	1	75	219	0	4	2	1	21	0	17	20	28	12	21	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_2569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_163	63	0	1	2	64	10	637	0	0	320	158	116	6	1	2	1	32	55	39	0	27	100	0	291	3	12	2	19	215	94	1	11	52	243	34	3	0	21	136	6	47	22	2	11	0	40	1015	45	164	33	10	884	1	0	247	34	1	13	0	118	15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_467	0	0	0	0	10	0	0	0	0	0	175	9	3	0	0	0	3	0	0	0	9	34	0	8	0	7	0	24	0	0	0	2	0	44	0	0	0	11	0	0	1	3	0	0	0	0	18	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_184	331	2	0	1	204	79	22	0	0	14	220	34	1	2	0	0	3	42	59	0	235	613	0	85	0	4	50	68	45	38	0	7	0	274	45	14	2	26	174	1	5	42	0	26	0	96	78	1	19	1	15	300	0	0	49	1	0	32	5	5	57	683	0	0	6	0	13	0	0	0	0	0	0	0	0	0	0	0
OTU_915	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	37	0	0	0	1	0	0	0	0	0	17	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_475	0	0	0	0	0	0	0	0	0	2	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	7	0	0	0	0	0	0	0	2	0	0	0	0	243	1	0	0	0	0	10	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_174	7	0	0	0	1	610	16	0	0	3	393	2	1	8	0	0	0	434	62	2	164	34	3	33	6	0	8	14	2	11	0	0	0	20	4	0	0	267	20	0	8	19	0	5	0	7	22	1	45	1	1	13	0	0	4	0	4	1	0	118	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_790	21	0	0	42	13	0	0	0	0	0	53	4	0	0	0	0	0	5	0	0	2	3	0	56	0	0	0	4	4	1	0	5	0	9	12	0	0	9	4	0	2	7	0	30	0	9	34	0	2	0	0	3	0	0	9	0	0	0	2	3	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_190	9	1	0	0	0	0	0	0	0	129	7	0	0	2	0	0	0	177	0	0	0	48	0	0	0	136	2	0	0	35	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	110	0	0	183	10	1	181	0	0	1	35	1	4	2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_149	0	1	0	9	621	53	1	0	8	1	1798	37	2	0	0	0	15	41	19	0	26	44	0	27	0	26	432	17	110	117	0	17	0	12	2	1	1	0	27	0	7	68	0	19	3	0	1	0	0	1	0	12	11	0	0	326	0	144	0	35	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_237	33	0	0	0	42	1	35	1	0	188	105	40	1	0	76	0	1	120	108	0	111	56	0	24	173	11	1	22	29	173	0	130	0	75	15	0	109	0	380	5	35	112	0	0	1	287	19	0	130	8	139	125	0	1	0	12	1	13	35	87	8	1	0	0	2	24	32	0	0	0	0	0	0	0	0	0	0	0
OTU_268	232	62	64	118	347	41	300	18	14	229	493	478	33	58	12	32	39	271	368	19	332	316	8	291	26	175	68	360	169	186	1	81	4	535	122	17	92	146	323	17	88	393	52	13	26	238	237	249	501	52	39	250	391	2	182	29	19	190	24	98	110	11	0	0	1	1	1	0	3	0	0	0	0	0	0	0	0	0
OTU_2451	11	164	99	137	58	591	7	271	0	0	7	18	133	139	139	94	133	1	8	96	2	18	1383	4	366	4	153	5	16	4	0	7	77	14	16	39	4	6	16	0	1	5	109	144	589	0	2	294	69	120	2	0	491	30	17	8	97	16	0	3	9	0	9	0	0	0	0	1	0	0	0	0	10	0	0	0	0	0
OTU_263	6	0	0	0	161	0	20	0	0	105	29	12	0	0	0	1	0	124	18	0	16	33	1	10	0	14	0	15	30	49	0	10	0	13	6	1	6	2	30	133	8	23	0	37	0	95	15	0	138	6	5	120	0	0	6	9	0	10	4	12	19	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1142	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_254	5	0	0	0	31	0	3	0	0	136	33	13	0	0	0	0	0	155	9	0	18	34	0	7	0	4	0	10	44	69	0	0	0	14	6	0	19	6	20	20	2	38	0	0	0	151	25	0	84	5	0	221	0	0	13	2	1	11	0	2	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1710	1	0	0	0	4	0	6	0	0	13	5	2	0	0	0	0	0	11	4	0	2	2	0	2	0	1	0	3	4	8	0	1	0	11	0	0	0	0	8	0	0	4	0	0	0	4	7	0	21	2	0	13	0	0	4	0	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_333	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	582	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0
OTU_906	2	0	0	0	1	0	6	0	0	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	9	0	0	5	0	0	17	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_725	1	0	0	0	1	0	1	0	0	13	1	1	0	0	0	0	0	12	1	0	4	2	0	0	0	0	0	4	4	3	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	10	1	0	5	2	0	21	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1856	10	0	0	0	2	0	9	0	0	14	12	13	0	0	0	0	0	29	3	0	26	15	0	5	0	0	1	6	18	16	0	2	0	5	7	0	5	0	5	0	6	2	0	0	0	53	8	0	96	8	5	101	0	0	5	3	0	0	0	6	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_189	11	0	0	0	25	0	30	0	0	221	37	18	0	0	0	0	0	83	31	0	266	54	0	22	18	16	36	23	29	127	0	5	0	25	11	0	9	1	51	10	7	63	0	0	0	111	64	0	204	8	14	122	0	0	212	3	1	44	0	9	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_772	0	0	0	0	4	0	1	0	0	16	6	0	0	0	0	0	0	6	3	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	10	3	0	19	3	0	18	0	0	0	3	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
OTU_927	67	0	0	0	50	0	83	0	0	133	70	85	1	0	0	0	0	96	69	0	65	144	0	39	0	38	0	35	131	54	0	13	0	150	44	0	51	34	53	8	19	27	0	0	0	214	36	0	278	17	14	214	1	0	10	73	0	51	21	16	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_665	0	0	0	0	0	0	0	0	0	5	2	7	0	0	0	0	0	0	0	0	3	2	0	18	0	0	0	8	0	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_123	28	16	4	5	197	3	523	0	4	27	240	57	5	2	0	0	4	101	145	2	60	231	0	13	0	69	16	75	7	13	47	10	0	226	74	21	18	9	42	0	5	60	3	1	0	407	51	5	299	17	67	1609	3	4	101	69	0	34	21	53	7	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0
OTU_1204	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_300	3	135	34	30	6	24	0	50	2	1	14	10	40	43	7	0	28	1	9	2	5	7	2	10	115	1	50	6	0	0	0	0	8	2	0	103	1	0	9	0	5	5	0	20	63	0	15	29	0	3	0	0	1	0	3	14	11	0	17	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2045	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_670	0	0	0	0	1	0	0	0	0	34	11	7	0	0	0	0	0	8	0	0	5	0	0	0	0	10	0	12	6	11	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	9	0	0	9	1	1	36	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_677	0	0	0	0	0	0	0	0	0	44	10	0	0	0	0	0	0	0	7	0	11	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	13	0	1	16	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_398	10	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	300	0	0	3	0	0	0	0	43	23	0	0	2	0	0	0	17	0	0	1	0	0	0	0	3	0	0	1	0	1	58	0	9	12	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
OTU_248	1	0	0	0	5	47	4	1	0	21	18	2	0	1	0	0	0	393	4	0	7	2	0	3	0	6	0	7	3	8	0	2	0	4	4	0	124	0	6	0	2	20	0	0	1	20	3	3	9	0	1	19	0	0	0	0	1	2	1	2	4	0	0	0	0	0	0	0	0	0	0	531	0	0	0	0	0	0
OTU_577	0	11	0	0	5	0	16	0	0	23	14	7	0	0	0	0	0	18	1	0	2	4	0	2	0	4	0	5	8	14	0	1	0	7	0	0	1	5	16	0	0	7	0	0	0	58	15	0	24	1	2	36	0	0	6	3	0	9	9	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_204	31	0	1	0	40	1	0	0	0	174	131	23	0	0	0	0	0	64	54	0	79	0	0	19	0	0	0	1	88	80	0	0	0	0	0	0	0	0	179	0	10	889	0	0	0	80	134	1	206	9	1	97	0	0	32	7	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_382	224	7	0	1	52	0	22	1	0	33	225	80	12	0	0	0	4	48	150	1	41	292	0	188	1	7	2	62	31	39	0	4	4	102	59	0	51	20	40	37	10	25	0	1	0	63	39	18	69	10	20	155	0	0	49	20	0	7	13	17	30	75	0	0	0	0	12	0	11	0	0	0	0	0	0	0	0	0
OTU_306	6	0	0	0	1	0	30	0	0	0	9	7	1	1	1	0	1	18	33	0	13	36	0	27	3	15	0	53	19	43	0	2	2	357	17	0	2	19	5	0	2	5	0	0	0	0	4	1	0	1	2	0	0	0	1	167	0	13	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_178	2	0	0	0	0	3	0	0	0	1458	34	0	0	0	0	0	0	9	1	0	5	6	0	0	0	2	1	1	1	0	0	1	1	514	0	0	0	0	57	0	8	2	0	0	0	1	3	0	3	0	3	3	0	2	14	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2425	1	4	6	4	0	3	3	1	2	1	1	1	11	13	56	2	7	0	1	21	0	0	38	1	17	0	2	0	2	1	0	0	19	1	3	0	0	0	0	3	0	1	16	4	6	0	0	1	2	3	0	0	9	0	1	0	12	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_383	0	0	10	14	0	63	1	10	0	11	79	9	29	8	3	0	86	0	2	95	8	7	11	18	1	7	8	17	18	17	2	0	5	0	0	1	0	0	5	7	0	32	22	6	6	0	0	29	2	8	0	0	0	0	0	0	6	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_396	0	0	0	0	32	0	2	0	0	0	9	13	0	7	0	0	4	2	0	0	50	15	0	1	0	0	3	18	44	0	0	4	0	15	4	13	4	7	12	0	4	20	0	4	0	19	88	0	0	0	6	12	0	0	14	6	0	5	0	13	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_414	0	0	1	4	2	1	11	0	0	0	2	36	0	1	3	2	0	1	1	0	1	0	0	5	10	1	0	3	9	1	0	3	0	1	0	1	1	0	1	10	1	377	0	1	1	0	2	0	2	0	4	4	1	0	0	7	3	3	0	0	2	4	6	0	0	0	0	0	0	0	0	0	0	12	0	20	0	0
OTU_228	0	0	1	0	2	0	1	0	0	768	0	0	0	0	0	0	0	0	0	0	0	1	0	617	0	0	0	0	0	30	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	62	3	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1248	3	24	1	33	0	3	0	12	0	0	0	8	1	1	3	43	1	1	0	9	1	0	5	2	1	0	79	0	1	0	0	4	1	2	0	5	0	7	0	0	1	4	65	1	16	0	1	178	0	1	1	0	280	0	0	0	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_372	2	4	0	7	10	9	3	8	9	16	19	30	15	15	14	56	35	14	10	71	9	5	16	7	15	0	17	7	6	6	2	2	7	2	14	14	0	13	2	0	5	10	1	36	1	82	3	33	59	17	0	26	13	6	2	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_456	0	0	0	0	23	0	3	0	0	38	15	1	0	0	0	0	0	31	1	0	11	8	0	1	0	1	0	1	1	18	0	1	0	1	0	0	5	0	8	10	3	14	0	0	0	31	14	0	37	3	0	61	0	0	2	0	0	2	2	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_614	1	0	0	0	1	0	1	0	0	4	0	2	0	0	0	0	0	10	1	0	0	0	0	1	0	4	0	2	0	8	0	0	0	0	1	0	0	2	1	0	0	1	0	0	0	24	4	0	106	9	0	33	0	0	1	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_470	0	0	0	0	7	0	3	0	0	39	4	1	0	0	0	0	0	30	2	0	7	1	0	1	0	1	0	3	4	17	0	0	0	4	1	0	1	0	4	0	0	7	0	0	0	39	3	0	24	0	0	143	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_167	7	285	106	62	8	192	3	273	1	0	68	13	239	216	10	4	200	0	21	10	62	137	18	62	272	22	104	23	6	0	0	3	7	5	3	363	0	0	16	0	18	21	33	42	143	0	48	136	0	1	0	1	7	0	4	18	6	0	40	0	5	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_1075	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	3	0	0	0	0	1	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	2	0	5	1	0	5	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_810	0	0	0	0	2	0	1	0	0	2	0	5	0	0	0	0	0	39	0	0	0	24	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	20	0	0	0	3	1	0	0	0	0	5	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_269	4	0	0	0	19	0	19	0	0	145	34	13	1	0	1	0	0	78	14	0	4	31	1	13	0	15	0	13	8	33	0	7	0	52	13	0	6	0	16	0	7	22	0	0	0	84	7	0	104	7	6	178	0	0	7	6	0	14	0	16	10	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0
OTU_444	15	0	0	0	0	0	3	0	0	16	4	4	6	0	0	0	0	0	10	0	4	11	0	2	0	0	0	0	0	11	0	2	0	0	81	0	0	10	5	0	0	95	0	0	0	0	58	0	122	12	23	14	0	0	8	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_345	15	0	0	0	3	0	21	0	0	18	28	4	0	0	1	0	0	8	20	0	23	8	0	6	0	0	0	1	0	12	0	8	0	4	5	0	0	0	79	0	1	259	0	0	0	30	9	0	81	8	0	22	0	0	14	129	0	3	0	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_587	0	0	0	0	6	1	0	0	0	0	0	127	2	0	0	0	0	21	0	0	0	48	0	4	0	6	0	9	5	8	0	0	0	0	14	1	0	0	0	0	0	2	0	0	0	4	12	4	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
OTU_329	17	0	741	0	3	41	7	72	0	0	6	17	45	4	0	112	33	0	0	53	31	213	5	26	0	7	23	15	7	0	40	7	1	59	2	3	0	25	28	13	36	3	51	8	21	0	0	36	0	0	1	0	10	0	0	100	0	211	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_309	4	0	0	0	1	11	0	0	0	0	28	1	0	0	0	0	0	0	0	0	70	13	0	6	0	0	2	13	0	0	0	10	0	51	208	0	0	0	138	0	13	0	0	0	0	0	3	0	0	0	53	0	0	0	0	23	0	21	0	71	73	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU_413	0	0	0	0	0	0	0	0	0	9	0	1	0	0	0	0	0	159	5	0	0	0	0	1	0	0	0	0	0	2	0	0	0	46	16	0	0	121	4	0	0	0	0	0	0	21	12	0	7	0	6	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_313	0	0	0	0	9	6	9	217	0	17	16	16	0	0	0	1	0	27	0	0	2	0	0	252	0	1	0	0	6	1	0	1	0	39	0	0	0	0	24	91	6	9	0	0	0	113	17	0	8	0	9	16	0	0	4	0	0	0	0	0	15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1251	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	1	0	0	0	0	0	10	0	1	0	0	0	0	2	1	0	0	0	0	3	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_347	15	0	0	0	19	0	90	0	0	85	21	3	0	0	1	0	0	160	5	0	5	36	0	7	1	10	0	2	21	48	0	17	0	17	4	0	9	0	83	0	8	22	0	1	0	107	17	0	96	10	11	108	0	0	4	5	0	8	0	11	13	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0
OTU_775	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1867	0	0	0	0	1	0	0	0	0	11	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	6	0	23	1	1	13	0	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_316	0	7	0	0	38	6	64	0	0	3	21	10	15	2	0	1	0	43	21	1	64	30	9	41	0	3	4	47	25	1	0	25	0	101	24	0	2	25	108	95	5	13	0	1	0	12	99	0	10	2	6	10	0	0	36	3	0	34	9	22	2	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0
OTU_402	0	0	0	0	66	1	0	0	0	0	2	3	0	0	0	18	0	3	0	0	0	0	0	2	0	0	0	0	3	2	0	0	0	44	271	0	0	0	0	0	30	5	0	0	0	3	28	0	18	1	36	2	0	0	4	0	0	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
OTU_339	0	0	1	0	0	20	0	0	0	250	0	0	12	57	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	139	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_284	0	10	0	1	1	88	5	2	0	0	16	0	8	45	2	1	76	0	22	18	1	4	0	1	0	0	23	2	0	0	0	0	8	1	2	16	0	0	8	0	1	0	30	39	307	0	0	24	0	221	0	1	0	0	0	0	78	0	0	5	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2517	7	2	4	1	22	3	7	0	1	9	22	8	0	1	1	1	0	9	20	1	7	10	1	22	0	6	1	9	9	3	0	4	0	29	6	1	4	7	18	1	1	14	3	0	0	9	7	11	21	1	2	13	9	0	7	0	1	3	2	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1766	0	0	6	0	0	7	0	1	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_264	4	114	37	47	14	76	0	3	1	0	48	5	110	50	0	0	108	0	6	1	15	46	6	27	44	3	44	12	3	0	0	1	5	5	4	108	0	0	12	3	3	8	9	11	64	0	12	41	0	0	0	0	1	0	5	0	13	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_159	29	0	0	0	42	3	177	0	1	184	255	52	0	3	0	1	1	248	80	0	57	67	0	35	1	16	1	34	83	138	0	4	1	306	62	0	67	66	78	13	13	40	0	0	0	139	26	1	287	18	12	182	10	0	45	94	0	22	24	106	12	0	0	0	0	7	25	0	0	0	0	0	0	0	0	0	0	0
